DCPLX,CCPLX,ICPLX,DATA,REUSE,DOCU,OI,OCAP,DECAP,OEXP,DEEXP,PCON,LEXP,TEXP,TOOL,SITE,SCED,A,Size,Actual Effort
0.735230822,1,0.890523518,1.39,1,0.628814982,0.642950976,0.929646448,0.929646448,1.036836755,1.036836755,1.003118996,0.968706235,0.968706235,1,1,1,4.174719623,0.475923619,0.5
0.735230822,0.8826015,0.890523518,1.39,1,0.628814982,0.642950976,0.929646448,0.929646448,1.036836755,1.036836755,1.003118996,0.968706235,0.968706235,1,1,1,4.174719623,0.543502741,0.4
0.735230822,1,0.890523518,1.39,1,0.628814982,0.642950976,0.929646448,0.929646448,1.036836755,1.036836755,1.003118996,0.968706235,0.968706235,1,1,1,4.174719623,0.66581687,0.6
0.735230822,1,0.890523518,1.39,1,0.628814982,0.642950976,0.929646448,0.929646448,1.036836755,1.036836755,1.003118996,0.968706235,0.968706235,1,1,1,4.174719623,1.17028407,1.5
0.735230822,0.8826015,0.890523518,1.39,1,0.628814982,0.642950976,0.929646448,0.929646448,1.036836755,1.036836755,1.003118996,0.968706235,0.968706235,1,1,1,4.174719623,0.475923619,0.4
0.735230822,0.8826015,0.890523518,1.39,1,0.628814982,0.642950976,0.929646448,0.929646448,1.036836755,1.036836755,1.003118996,0.968706235,0.968706235,1,1,1,4.174719623,0.53341789,0.6
0.735230822,0.8826015,0.890523518,1.39,1,0.628814982,0.642950976,0.929646448,0.929646448,1.036836755,1.036836755,1.003118996,0.968706235,0.968706235,1,1,1,4.174719623,1.105183851,1
0.735230822,0.8826015,0.890523518,1.39,1,0.628814982,0.642950976,0.929646448,0.929646448,1.036836755,1.036836755,1.003118996,0.968706235,0.968706235,1,1,1,4.174719623,0.597459422,0.5
1,1.287073001,0.890523518,1.39,0.884676997,0.628814982,0.642950976,0.929646448,0.929646448,1.036836755,1.036836755,1.003118996,0.968706235,0.968706235,1,1,1,4.174719623,0.66429745,1
1,1.287073001,0.74622904,1.39,0.884676997,0.628814982,0.642950976,0.929646448,0.929646448,1.036836755,1.036836755,1.003118996,0.968706235,0.968706235,1,1,1,4.174719623,0.66581687,1
1,1,0.74622904,1.39,1,1,0.642950976,0.879680954,0.879680954,0.976362593,0.976362593,0.9878745,1,1,1,1,1,4.174719623,1.30848228,2
1,1,0.890523518,1.39,0.884676997,1,0.642950976,1.11367768,1.11367768,1.119451299,1.119451299,0.9878745,1.132516935,1.132516935,1,1,1,4.174719623,0.819309422,5
1,1,0.74622904,1.39,0.884676997,1,0.642950976,1.11367768,1.11367768,1.119451299,1.119451299,1,1.132516935,1.132516935,1,1,1,4.174719623,0.66429745,1.25
1.267815018,1,0.890523518,1.39,1,1.148700682,0.642950976,1,1,1.119451299,1.119451299,0.9878745,1.132516935,1.132516935,1,1,1,4.174719623,0.930964634,12
1,1,0.74622904,1.39,0.564513468,1,0.642950976,1.11367768,1.11367768,1.119451299,1.119451299,0.9878745,1.132516935,1.132516935,1,1,1,4.174719623,0.809209937,2
1,1,0.890523518,1.39,1,1,0.642950976,1.11367768,1.11367768,1.119451299,1.119451299,0.9878745,1.132516935,1.132516935,1,1,1,4.174719623,0.695105642,24
1,1,0.74622904,1.39,1,1,0.642950976,1.11367768,1.11367768,1.119451299,1.119451299,0.9878745,1.132516935,1.132516935,1,1,1,4.174719623,0.778103363,1
1,1,0.890523518,1.39,1,1,0.642950976,1.11367768,1.11367768,1.119451299,1.119451299,0.9878745,1.132516935,1.132516935,1,1,1,4.174719623,0.771076364,1
1,1,0.74622904,1.39,0.884676997,1,0.642950976,1.11367768,1.11367768,1.119451299,1.119451299,0.9878745,1.132516935,1.132516935,1,1,1,4.174719623,0.613022903,3
1.267815018,1.287073001,0.890523518,1.39,1,1.283439039,0.642950976,1.373785877,1.373785877,1.036836755,1.036836755,0.9878745,1.046267153,1.046267153,1,1,1,4.174719623,1.02377244,6
1,1,0.74622904,1.39,1,1.283439039,0.910070488,1,1,1.119451299,1.119451299,0.9878745,1.132516935,1.132516935,1,1,1,4.174719623,0.858231489,2
